Date,Open,High,Low,Close,Volume,Adj Close
2016-10-13,23.209999,24.09,23.030001,23.49,74503900,23.49
2016-10-12,22.709999,23.360001,22.620001,23.07,73655000,23.07
2016-10-11,22.889999,23.08,22.50,22.58,73049600,22.58
2016-10-10,23.17,23.389999,22.969999,23.16,35637900,23.16
2016-10-07,23.57,23.74,22.59,23.00,76367000,23.00
2016-10-06,22.83,23.209999,22.58,22.84,97290900,22.84
2016-10-05,23.84,23.98,22.93,23.58,92937200,23.58
2016-10-04,25.10,25.10,23.379999,23.40,200283500,23.40
2016-10-03,26.35,26.57,25.65,25.959999,58287200,25.959999
2016-09-30,27.209999,27.25,26.33,26.43,42369700,26.43
2016-09-29,26.57,26.92,26.32,26.690001,40404900,26.690001
2016-09-28,26.27,27.110001,25.860001,26.91,67318600,26.91
2016-09-27,26.49,26.59,26.01,26.280001,56012400,26.280001
2016-09-26,27.209999,28.08,26.74,26.780001,34774800,26.780001
2016-09-23,27.690001,27.77,26.75,27.02,64159100,27.02
2016-09-22,28.25,28.559999,27.450001,27.74,68566900,27.74
2016-09-21,26.620001,28.01,26.540001,27.90,133287700,27.90
2016-09-20,26.110001,26.290001,25.860001,26.059999,31964400,26.059999
2016-09-19,26.370001,26.41,26.01,26.09,61225900,26.09
2016-09-16,25.84,26.309999,25.559999,25.959999,72342900,25.959999
2016-09-15,25.969999,26.639999,25.60,26.18,59497200,26.18
2016-09-14,26.309999,26.67,25.860001,26.01,54129400,26.01
